interval_index,node_index,fraction,z_mid,group,raw_component_sum_kappa_cMpc_inv,authoritative_total_kappa_cMpc_inv,raw_sum_vs_authoritative_relative_residual,conditioned_kappa_sum_relative_residual,conditioned_current_sum_relative_residual,minimum_component_kappa_cMpc_inv,minimum_component_current_s-1_cMpc-3,exact_zero_G3_current
1,5,0.2222148834901988,5.85,G2b,0.000926405032678025,0.0009264050326773,7.826015265113551e-13,0.0,1.735470628017143e-16,0.0,0.0,True
1,5,0.2222148834901988,5.85,G3,1.8650918843582878,1.8650918843582929,2.738216790339449e-15,0.0,0.0,0.0,0.0,True
1,6,0.3086582838174551,5.85,G1,0.05120533769738183,0.0512055726906922,4.5892135958066095e-06,0.0,0.0,0.0,0.0,True
1,6,0.3086582838174551,5.85,G2a,0.025139292410991523,0.0251396075778609,1.2536666230790249e-05,0.0,1.5118378400850408e-16,0.0,0.0,True
1,6,0.3086582838174551,5.85,G2b,0.0009513845473241733,0.0009513845473235,7.076944343984169e-13,0.0,0.0,0.0,0.0,True
1,6,0.3086582838174551,5.85,G3,1.8651206109885208,1.8651206109885252,2.3810214054451557e-15,0.0,0.0,0.0,0.0,True
1,7,0.4024548389919358,5.85,G1,0.05378347463707474,0.0537838895053813,7.713616668077214e-06,0.0,0.0,0.0,0.0,True
1,7,0.4024548389919358,5.85,G2a,0.02636874000008419,0.0263693444788571,2.2923541895122844e-05,0.0,0.0,0.0,0.0,True
1,7,0.4024548389919358,5.85,G2b,0.0009812354218948155,0.0009812354218948,1.5911075910450685e-14,0.0,0.0,0.0,0.0,True
1,7,0.4024548389919358,5.85,G3,1.8651522563294365,1.8651522563294416,2.738128158677072e-15,0.0,0.0,0.0,0.0,True
1,8,0.4999999999999999,5.85,G1,0.05651058262163175,0.0565110975235464,9.111518572660173e-06,0.0,1.2182500052115421e-16,0.0,0.0,True
1,8,0.4999999999999999,5.85,G2a,0.027647134507638338,0.0276479472663383,2.9396710436902833e-05,1.2548660189965374e-16,1.429311637689046e-16,0.0,0.0,True
1,8,0.4999999999999999,5.85,G2b,0.0010150656737800568,0.0010150656737794,6.470612622001247e-13,2.1362207401786884e-16,0.0,0.0,0.0,True
1,8,0.4999999999999999,5.85,G3,1.865185653502819,1.865185653502824,2.619032212250121e-15,0.0,0.0,0.0,0.0,True
1,9,0.5975451610080641,5.85,G1,0.059270161160493176,0.0592707008309347,9.105180704070009e-06,0.0,0.0,0.0,0.0,True
1,9,0.5975451610080641,5.85,G2a,0.02892004345178291,0.0289209671856259,3.1939936069940683e-05,0.0,0.0,0.0,0.0,True
1,9,0.5975451610080641,5.85,G2b,0.001051425843659787,0.0010514258436597,8.270009222017972e-14,2.0623464394059782e-16,1.3250886412879036e-16,0.0,0.0,True
1,9,0.5975451610080641,5.85,G3,1.8652194924792365,1.865219492479242,2.9761189744737565e-15,0.0,0.0,0.0,0.0,True
1,10,0.6913417161825448,5.85,G1,0.061942813779463445,0.0619433171323231,8.12602364484e-06,0.0,0.0,0.0,0.0,True
1,10,0.6913417161825448,5.85,G2a,0.030136417245653017,0.0301373599148523,3.127909020386788e-05,0.0,0.0,0.0,0.0,True
1,10,0.6913417161825448,5.85,G2b,0.0010884389867546623,0.0010884389867546,5.717656704509343e-14,0.0,1.2400764059575143e-16,0.0,0.0,True
1,10,0.6913417161825448,5.85,G3,1.8652523827531968,1.8652523827532024,2.976066496123205e-15,0.0,0.0,0.0,0.0,True
1,11,0.777785116509801,5.85,G1,0.06441477226619993,0.0644152000524688,6.641076462050859e-06,0.0,0.0,0.0,0.0,True
1,11,0.777785116509801,5.85,G2a,0.03125063037370558,0.031251523285051,2.8571770318960872e-05,0.0,1.3649275650863337e-16,0.0,0.0,True
1,11,0.777785116509801,5.85,G2b,0.0011240254727192523,0.0011240254727195,2.2030797540251618e-13,0.0,0.0,0.0,0.0,True
1,11,0.777785116509801,5.85,G3,1.865282937290211,1.8652829372902164,2.856977036385987e-15,0.0,0.0,0.0,0.0,True
1,12,0.8535533905932737,5.85,G1,0.06658395852715879,0.0665842961804865,5.07106550768586e-06,0.0,0.0,0.0,0.0,True
1,12,0.8535533905932737,5.85,G2a,0.03222271392136773,0.0322235201809073,2.5020839903367722e-05,0.0,1.3558339916377688e-16,0.0,0.0,True
1,12,0.8535533905932737,5.85,G2b,0.0011561502064504024,0.0011561502064511,6.033607691153216e-13,0.0,0.0,0.0,0.0,True
1,12,0.8535533905932737,5.85,G3,1.865309860743215,1.86530986074322,2.6188578161508788e-15,0.0,0.0,0.0,0.0,True
1,13,0.9157348061512728,5.85,G1,0.06836374015275612,0.0683639941288869,3.715056939186748e-06,0.0,0.0,0.0,0.0,True
1,13,0.9157348061512728,5.85,G2a,0.03301818395592141,0.0330188966233974,2.158362479883956e-05,0.0,0.0,0.0,0.0,True
1,13,0.9157348061512728,5.85,G2b,0.0011830237579096752,0.0011830237579098,1.0557699237672719e-13,0.0,0.0,0.0,0.0,True
1,13,0.9157348061512728,5.85,G3,1.8653320244514704,1.8653320244514755,2.7378642763491426e-15,0.0,0.0,0.0,0.0,True
1,14,0.9619397662556434,5.85,G1,0.06968514539048257,0.0696853353017575,2.7252688690641738e-06,0.0,0.0,0.0,0.0,True
1,14,0.9619397662556434,5.85,G2a,0.03360842474827462,0.0336090587592304,1.8864287760013034e-05,0.0,0.0,0.0,0.0,True
1,14,0.9619397662556434,5.85,G2b,0.0012032234381362363,0.0012032234381362,3.009611632658103e-14,1.802162654286289e-16,0.0,0.0,0.0,True
1,14,0.9619397662556434,5.85,G3,1.8653485185746634,1.8653485185746683,2.6188035424518697e-15,0.0,0.0,0.0,0.0,True
1,15,0.9903926402016152,5.85,G1,0.07049817362765698,0.0704983245492422,2.140782581433107e-06,0.0,0.0,0.0,0.0,True
1,15,0.9903926402016152,5.85,G2a,0.033971698495614634,0.0339722815223415,1.7161836083506526e-05,0.0,1.3462078388420285e-16,0.0,0.0,True
1,15,0.9903926402016152,5.85,G2b,0.0012157398483264733,0.001215739848326,3.8936181055425875e-13,0.0,0.0,0.0,0.0,True
1,15,0.9903926402016152,5.85,G3,1.865358681633437,1.8653586816334424,2.856861026606547e-15,0.0,0.0,0.0,0.0,True
1,16,1.0,5.85,G1,0.07077255965415837,0.0707726976260614,1.9495074749083327e-06,0.0,0.0,0.0,0.0,True
1,16,1.0,5.85,G2a,0.03409434501739952,0.0340949105313361,1.658646196070874e-05,0.0,1.345816611207172e-16,0.0,0.0,True
1,16,1.0,5.85,G2b,0.0012199773590277022,0.0012199773590286,7.358492288191329e-13,0.0,0.0,0.0,0.0,True
1,16,1.0,5.85,G3,1.8653621138415504,1.865362113841556,2.975891427157663e-15,0.0,0.0,0.0,0.0,True
2,0,0.0,5.75,G1,0.07746243921493845,0.0775097379495998,0.0006102295777609584,0.0,1.2517383460554317e-16,0.0,0.0,True
2,0,0.0,5.75,G2a,0.0387080616652961,0.0387112688762037,8.284954228337171e-05,0.0,1.2028870001553757e-16,0.0,0.0,True
