interval_index,z_mid,group,component,partition_lane,macro_index,macro_owner_current_s-1_cMpc-3
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,2,2.694013596159461e+46
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,3,1.340754125059052e+46
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,4,1.3452214629202412e+45
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,5,3.491655302656933e+43
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,6,1.306229032303197e+47
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,7,2.502153326895526e+47
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,8,1.4091734682710034e+47
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,9,7.013161118420314e+46
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,10,7.036528684184569e+45
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,11,1.826400586792144e+44
0,5.95,G2b,EXPLICIT_HI_ATOMIC,STATE_DERIVED,12,4.997379050058044e+46
