shape_lane,interval_index,substep,macro_index,z_mid,dt_Myr,family,k_min_Myr_inv,k_max_Myr_inv,selected_k_Myr_inv,two_mode_weight_slow,selected_model
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551924577e-05,1.65834332097442930e-02,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097630791e-05,1.01127136802973541e-01,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437709379e-05,2.19534473958154353e+00,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,3.66958014220250402e-16,9.09070573992431380e-03,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,12,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,6.34090841703652249e-17,4.78504176703268159e-03,,,NONE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601253e-05,4.41846920437900673e-05,4.41846920437900673e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552013007e-05,1.65834332097442826e-02,1.65834332097442826e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097538769e-05,9.87966529238048369e-02,9.87966529238048369e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437778700e-05,2.19534473958154175e+00,1.99175814270264413e-03,9.80488445473366443e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.97225856695999087e-17,2.64283562230665679e-03,2.64283562230665679e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,13,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,2.94473715094584129e-16,1.20209133802725025e-03,1.20209133802725025e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601660e-05,4.41846920437697521e-05,4.41846920437697521e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368551855595e-05,1.65834332097442791e-02,1.65834332097442791e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097584577e-05,9.85981823761830078e-02,9.85981823761830078e-02,8.80034862996453475e-17,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,C,4.41846920437738110e-05,2.19534473958153997e+00,7.56359187541565136e-04,9.92820528254972023e-01,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,J_G1,1.68665896945368820e-16,1.00436156315946183e-03,1.00436156315946183e-03,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,14,5.95000000000000018e+00,1.01174195637656954e+01,J_G2a,1.12149741974314980e-16,4.50907734045400701e-04,4.50907734045400701e-04,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,M,4.41748181973601524e-05,4.41846920437864827e-05,4.41846920437864827e-05,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,I,4.42182368552009687e-05,1.65834332097442340e-02,1.65834332097442340e-02,0.00000000000000000e+00,TWO_MODE
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,15,5.95000000000000018e+00,1.01174195637656954e+01,U,4.32999097097810023e-05,9.78939180059923003e-02,9.78939180059923003e-02,8.83729383963177829e-17,TWO_MODE
