shape_lane,interval_index,substep,substeps_per_interval,z_mid,tau_Myr,macro_index,violated_constraints,M_eq_nonnegative,M_eq_mass_cap_slack,M_eq_volume_cap_slack,kappa_eq_G1,kappa_eq_G2a,cycling_eq_slack,m_eq_nonnegative,m_eq_upper_slack,k_eq_G1,k_eq_G2a,shape_cycling_slack
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,6,cycling_eq_slack,1.2839542500521546e+65,6.722203433890091e+65,2.4610197965948734e+67,0.0069653301810050465,0.005592809007544882,-2.3502413222395177e+49,0.24402246971173086,0.9484283395510889,0.23405490477905186,0.2582193426494515,0.024833342094522093
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,7,cycling_eq_slack,8.877585124899635e+64,1.4448475477964148e+66,4.729935611114271e+67,0.005472560270598249,0.003284249356175636,-1.7221310988079222e+49,0.17058662112605216,2.1136182815128466,0.1838935900735249,0.15163341152978796,0.010929275818414852
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,8,cycling_eq_slack,3.8846848888725163e+64,8.248657705676371e+65,2.6649405047800788e+67,0.002527878494696086,0.0013189254736352182,-7.732750425499647e+48,0.07502384724592837,1.2114044904159242,0.08494390717939111,0.06089463601318405,0.003516512829688928
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,9,cycling_eq_slack,1.791913861572276e+64,4.1193253661432837e+65,1.3264264690045103e+67,0.001201486161534428,0.0005769368860015492,-3.6193502970048714e+48,0.03470730297877061,0.6055211289681999,0.04037335227814162,0.02663710905424582,0.001285241968725405
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,10,cycling_eq_slack,1.6558438922723978e+63,4.147254844933029e+64,1.330988108255171e+66,0.0001161711153651713,4.874502959367213e-05,-3.420631077971504e+47,0.00322178295835973,0.061014381729099995,0.0039036798885746372,0.0022505523578806147,6.984691022442289e-05
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,11,cycling_eq_slack,4.2150971460102333e+61,1.0772890907562177e+63,3.454794032821248e+64,2.9873896786581285e-06,1.214085576455205e-06,-8.752117344391342e+45,8.20989049092417e-05,0.001585214256794284,0.00010038478989596982,5.6054190130491065e-05,1.4914018235182556e-06
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,12,cycling_eq_slack,1.0299890428462849e+65,1.026324023344727e+65,2.3687179248256385e+66,0.005324850929631831,0.0047197664818426155,-1.8465016524449097e+49,0.19500934297990621,0.111261439669704,0.17893013610415615,0.21791107058299408,0.02241891923567091
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,13,cycling_eq_slack,3.935228332861638e+64,3.5454575847469063e+65,4.6953568175684475e+66,0.0021720309434239415,0.0016811311678341725,-7.258357023161082e+48,0.07489674201183119,0.5117817338036867,0.0729864173598862,0.07761763086850083,0.007257558710228637
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,14,cycling_eq_slack,1.1002542999782693e+64,2.1083464968808944e+65,2.6555112846094666e+66,0.0006061449490487492,0.0004710367753730791,-2.0276918031772915e+48,0.020937230681404767,0.30947087566379805,0.02036819427725058,0.021747713239710132,0.002039939753054564
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,2,5.85,300.0,15,cycling_eq_slack,8.983649708929636e+63,1.0142007342438842e+65,1.3180844166849264e+66,0.0005102981209937295,0.0003709562161240929,-1.678368464405295e+48,0.017139027563586266,0.147298164649106,0.01714746824835834,0.017127005436815373,0.0015194550966595444
