# z zre gamma density mfp_13.6eV mfp_14.48eV mfp_16.7eV mfp_20.05eV mfp_25.5eV mfp_39.5eV
5.880000 12.000000 1.000000 0.000000 98.933924 115.148017 159.186223 236.746134 389.382857 734.123807
5.890000 12.000000 1.000000 0.000000 98.014630 114.050800 157.640400 234.825300 388.035600 734.498600
5.910000 12.000000 1.000000 0.000000 97.312650 113.222100 156.487200 233.200000 385.858000 733.841200
5.920000 12.000000 1.000000 0.000000 97.115490 113.011500 156.196000 232.590100 383.676200 723.801000
5.930000 12.000000 1.000000 0.000000 96.509280 112.312000 155.248500 231.128100 380.900600 717.787800
5.940000 12.000000 1.000000 0.000000 96.303024 112.122516 155.133722 231.438533 383.440555 729.394405
5.950000 12.000000 1.000000 0.000000 95.699280 111.507300 154.527500 230.963700 383.766900 735.366500
5.960000 12.000000 1.000000 0.000000 95.007124 110.692916 153.381522 229.084433 379.746455 724.535404
5.980000 12.000000 1.000000 0.000000 94.252090 109.831400 152.248200 227.570700 377.618200 721.200200
5.990000 12.000000 1.000000 0.000000 93.304280 108.657100 150.407500 224.368900 371.245900 707.270900
6.000000 12.000000 1.000000 0.000000 92.893170 108.172100 149.735200 223.565800 371.037400 711.159300
6.010000 12.000000 1.000000 0.000000 91.833400 107.019500 148.411700 222.126500 369.693700 711.341200
6.020000 12.000000 1.000000 0.000000 91.607243 106.755515 147.995121 221.326831 368.353252 712.769401
6.040000 12.000000 1.000000 0.000000 90.980830 106.027700 146.996400 219.937200 366.283800 706.817200
6.050000 12.000000 1.000000 0.000000 90.454380 105.432100 146.210800 218.721300 364.251900 705.603800
6.060000 12.000000 1.000000 0.000000 89.624830 104.554200 145.267100 217.872400 363.571400 703.101300
6.070000 12.000000 1.000000 0.000000 89.116643 103.843615 143.897020 214.992830 357.044550 686.689197
6.080000 12.000000 1.000000 0.000000 87.903630 102.479800 142.207200 212.939200 354.651400 683.145300
6.100000 12.000000 1.000000 0.000000 87.715282 102.230714 141.783320 212.172030 353.134250 680.181596
6.110000 12.000000 1.000000 0.000000 86.762570 101.062800 139.991200 209.201800 347.716600 670.646200
6.120000 12.000000 1.000000 0.000000 86.772962 101.086414 140.061220 209.325929 347.536949 666.377294
6.130000 12.000000 1.000000 0.000000 86.101382 100.358614 139.213120 208.487729 347.381549 669.617994
6.140000 12.000000 1.000000 0.000000 85.462790 99.675670 138.447000 207.593200 346.603500 672.070500
6.150000 12.000000 1.000000 0.000000 84.496112 98.514524 136.736419 204.982629 342.743248 667.320793
6.160000 12.000000 1.000000 0.000000 84.825790 98.989780 137.622500 206.520700 344.709200 665.504800
6.180000 12.000000 1.000000 0.000000 84.357782 98.440394 136.873019 205.590729 343.974348 667.930893
6.190000 12.000000 1.000000 0.000000 82.815890 96.678440 134.586800 202.601900 340.209700 662.948700
6.200000 12.000000 1.000000 0.000000 82.488160 96.230580 133.742000 200.864500 336.679100 658.092500
6.210000 12.000000 1.000000 0.000000 81.992701 95.641113 132.898718 199.627928 334.472746 651.578990
6.220000 12.000000 1.000000 0.000000 81.934031 95.578223 132.800318 199.391028 333.952846 651.622290
6.240000 12.000000 1.000000 0.000000 81.191380 94.729480 131.690400 197.892700 331.940800 648.520400
6.250000 12.000000 1.000000 0.000000 80.158111 93.512193 129.934518 195.076427 326.993545 640.798488
6.270000 12.000000 1.000000 0.000000 79.429780 92.756770 129.199500 194.696800 327.932100 643.511300
6.280000 12.000000 1.000000 0.000000 79.083780 92.344350 128.601000 193.675400 325.545900 637.934600
6.290000 12.000000 1.000000 0.000000 78.471521 91.659113 127.708917 192.426026 324.094744 639.569988
6.310000 12.000000 1.000000 0.000000 77.640400 90.675180 126.311200 190.294200 319.961900 625.629700
6.320000 12.000000 1.000000 0.000000 77.442020 90.449040 126.034300 190.163600 321.335800 636.296600
6.330000 12.000000 1.000000 0.000000 76.544900 89.467012 124.848517 188.691426 319.424644 633.621086
6.350000 12.000000 1.000000 0.000000 76.269450 89.108220 124.226500 187.512200 317.067200 628.937300
6.360000 12.000000 1.000000 0.000000 75.644060 88.388692 123.267317 186.171225 315.098243 626.320385
6.370000 12.000000 1.000000 0.000000 75.004460 87.616060 122.120800 184.290300 311.504300 619.832300
6.380000 12.000000 1.000000 0.000000 74.600840 87.179512 121.638016 183.905025 311.860042 623.915684
6.400000 12.000000 1.000000 0.000000 74.137940 86.609750 120.730500 182.236100 308.514700 617.735400
6.410000 12.000000 1.000000 0.000000 73.808870 86.177540 119.970300 180.789900 305.513000 610.324800
6.420000 12.000000 1.000000 0.000000 72.679360 84.965691 118.606816 179.326524 303.759641 605.388882
6.430000 12.000000 1.000000 0.000000 72.253410 84.470121 117.946316 178.418724 302.614541 603.853881
6.450000 12.000000 1.000000 0.000000 71.665250 83.814670 117.142900 177.507400 302.224300 611.993500
6.460000 12.000000 1.000000 0.000000 71.929600 84.112330 117.500700 177.965100 302.818300 609.767800
6.470000 12.000000 1.000000 0.000000 70.829110 82.792180 115.543400 174.781600 297.353400 601.319200
6.490000 12.000000 1.000000 0.000000 70.001879 81.849231 114.323115 173.162423 295.149039 598.543780
6.500000 12.000000 1.000000 0.000000 70.136149 82.029331 114.677115 174.067823 297.634540 606.976481
