s,time_s,node_a_baseline_J,node_b_baseline_J,partition_shape_f,node_a_redistributed_J,node_b_redistributed_J,baseline_pointwise_total_J,redistributed_pointwise_total_J
0.163,104085762357910.5,1.0981566769793036e+48,1.0560344157059968e+48,0.136431,1.1556821233323358e+48,9.985089693529646e+47,2.1541910926853004e+48,2.1541910926853004e+48
0.164,104724325317161.48,1.098168957292557e+48,1.0560462068969059e+48,0.137104,1.1559781707175566e+48,9.982369934719063e+47,2.154215164189463e+48,2.154215164189463e+48
0.165,105362888276412.47,1.0981812376058103e+48,1.0560579980878149e+48,0.137775,1.1562733748128161e+48,9.97965860880809e+47,2.1542392356936252e+48,2.1542392356936252e+48
0.166,106001451235663.45,1.0981935179190636e+48,1.0560697892787238e+48,0.138444,1.1565677356181143e+48,9.97695571579673e+47,2.1542633071977874e+48,2.1542633071977874e+48
0.167,106640014194914.44,1.098205798232317e+48,1.0560815804696326e+48,0.139111,1.1568612531334514e+48,9.974261255684983e+47,2.1542873787019497e+48,2.1542873787019497e+48
0.168,107278577154165.42,1.0982180785455701e+48,1.0560933716605416e+48,0.139776,1.1571539273588268e+48,9.97157522847285e+47,2.154311450206112e+48,2.154311450206112e+48
0.169,107917140113416.4,1.0982303588588236e+48,1.0561051628514506e+48,0.140439,1.1574457582942414e+48,9.968897634160328e+47,2.154335521710274e+48,2.154335521710274e+48
0.17,108555703072667.39,1.0982426391720768e+48,1.0561169540423595e+48,0.1411,1.1577367459396945e+48,9.966228472747418e+47,2.1543595932144364e+48,2.1543595932144364e+48
0.171,109194266031918.38,1.0982549194853303e+48,1.0561287452332685e+48,0.141759,1.1580268902951865e+48,9.963567744234123e+47,2.1543836647185986e+48,2.1543836647185986e+48
0.17200000000000001,109832828991169.36,1.0982671997985835e+48,1.0561405364241775e+48,0.14241600000000001,1.158316191360717e+48,9.96091544862044e+47,2.154407736222761e+48,2.154407736222761e+48
0.17300000000000001,110471391950420.34,1.098279480111837e+48,1.0561523276150864e+48,0.143071,1.1586046491362865e+48,9.958271585906369e+47,2.1544318077269234e+48,2.1544318077269234e+48
0.17400000000000002,111109954909671.33,1.0982917604250901e+48,1.0561641188059952e+48,0.14372400000000002,1.1588922636218943e+48,9.95563615609191e+47,2.1544558792310853e+48,2.1544558792310853e+48
0.17500000000000002,111748517868922.31,1.0983040407383434e+48,1.0561759099969042e+48,0.144375,1.159179034817541e+48,9.953009159177065e+47,2.1544799507352476e+48,2.1544799507352476e+48
0.176,112387080828173.28,1.098316321051597e+48,1.0561877011878133e+48,0.14502400000000001,1.1594649627232269e+48,9.950390595161834e+47,2.1545040222394105e+48,2.1545040222394105e+48
0.177,113025643787424.27,1.09832860136485e+48,1.0561994923787221e+48,0.145671,1.159750047338951e+48,9.947780464046212e+47,2.154528093743572e+48,2.154528093743572e+48
0.178,113664206746675.27,1.0983408816781035e+48,1.0562112835696311e+48,0.146316,1.160034288664714e+48,9.945178765830206e+47,2.1545521652477346e+48,2.1545521652477346e+48
0.179,114302769705926.25,1.0983531619913566e+48,1.0562230747605399e+48,0.14695899999999998,1.1603176867005155e+48,9.94258550051381e+47,2.1545762367518965e+48,2.1545762367518965e+48
0.18,114941332665177.23,1.0983654423046102e+48,1.056234865951449e+48,0.1476,1.1606002414463563e+48,9.94000066809703e+47,2.1546003082560594e+48,2.1546003082560594e+48
0.181,115579895624428.22,1.0983777226178633e+48,1.0562466571423578e+48,0.14823899999999998,1.1608819529022352e+48,9.93742426857986e+47,2.154624379760221e+48,2.154624379760221e+48
0.182,116218458583679.2,1.0983900029311168e+48,1.056258448333267e+48,0.148876,1.1611628210681533e+48,9.934856301962304e+47,2.154648451264384e+48,2.154648451264384e+48
0.183,116857021542930.19,1.09840228324437e+48,1.0562702395241758e+48,0.14951099999999998,1.1614428459441099e+48,9.93229676824436e+47,2.1546725227685458e+48,2.1546725227685458e+48
0.184,117495584502181.17,1.0984145635576235e+48,1.0562820307150847e+48,0.150144,1.1617220275301053e+48,9.92974566742603e+47,2.1546965942727084e+48,2.1546965942727084e+48
0.185,118134147461432.16,1.0984268438708766e+48,1.0562938219059935e+48,0.150775,1.1620003658261392e+48,9.927202999507309e+47,2.15472066577687e+48,2.15472066577687e+48
0.186,118772710420683.14,1.09843912418413e+48,1.0563056130969028e+48,0.151404,1.1622778608322122e+48,9.924668764488207e+47,2.154744737281033e+48,2.154744737281033e+48
0.187,119411273379934.12,1.0984514044973833e+48,1.0563174042878116e+48,0.152031,1.1625545125483237e+48,9.922142962368713e+47,2.154768808785195e+48,2.154768808785195e+48
0.188,120049836339185.11,1.0984636848106368e+48,1.0563291954787206e+48,0.15265600000000001,1.162830320974474e+48,9.919625593148834e+47,2.1547928802893573e+48,2.1547928802893573e+48
0.189,120688399298436.1,1.09847596512389e+48,1.0563409866696294e+48,0.153279,1.163105286110663e+48,9.917116656828565e+47,2.1548169517935196e+48,2.1548169517935196e+48
0.19,121326962257687.08,1.0984882454371435e+48,1.0563527778605385e+48,0.1539,1.163379407956891e+48,9.91461615340791e+47,2.1548410232976818e+48,2.1548410232976818e+48
0.191,121965525216938.06,1.0985005257503966e+48,1.0563645690514473e+48,0.154519,1.163652686513157e+48,9.912124082886868e+47,2.154865094801844e+48,2.154865094801844e+48
0.192,122604088176189.05,1.09851280606365e+48,1.0563763602423563e+48,0.15513600000000002,1.1639251217794625e+48,9.909640445265438e+47,2.1548891663060063e+48,2.1548891663060063e+48
0.193,123242651135440.03,1.0985250863769033e+48,1.0563881514332651e+48,0.155751,1.1641967137558063e+48,9.90716524054362e+47,2.1549132378101685e+48,2.1549132378101685e+48
0.194,123881214094691.02,1.0985373666901567e+48,1.0563999426241742e+48,0.156364,1.1644674624421891e+48,9.904698468721418e+47,2.1549373093143308e+48,2.1549373093143308e+48
0.195,124519777053942.0,1.0985496470034097e+48,1.0564117338150832e+48,0.156975,1.16473736783861e+48,9.902240129798828e+47,2.154961380818493e+48,2.154961380818493e+48
0.196,125158340013192.98,1.0985619273166633e+48,1.0564235250059921e+48,0.157584,1.1650064299450705e+48,9.899790223775849e+47,2.1549854523226553e+48,2.1549854523226553e+48
0.197,125796902972443.97,1.0985742076299164e+48,1.056435316196901e+48,0.158191,1.1652746487615692e+48,9.897348750652482e+47,2.1550095238268175e+48,2.1550095238268175e+48
0.198,126435465931694.97,1.09858648794317e+48,1.0564471073878099e+48,0.15879600000000002,1.165542024288107e+48,9.894915710428729e+47,2.1550335953309797e+48,2.1550335953309797e+48
0.199,127074028890945.95,1.0985987682564231e+48,1.0564588985787187e+48,0.15939899999999999,1.165808556524683e+48,9.892491103104588e+47,2.155057666835142e+48,2.155057666835142e+48
0.2,127712591850196.94,1.0986110485696767e+48,1.056470689769628e+48,0.16000000000000003,1.1660742454712983e+48,9.890074928680062e+47,2.155081738339305e+48,2.1550817383393045e+48
0.201,128351154809447.92,1.0986233288829296e+48,1.0564824809605368e+48,0.160599,1.1663390911279517e+48,9.887667187155147e+47,2.1551058098434665e+48,2.1551058098434665e+48
0.202,128989717768698.9,1.0986356091961831e+48,1.0564942721514458e+48,0.161196,1.1666030934946444e+48,9.885267878529845e+47,2.1551298813476287e+48,2.1551298813476287e+48
0.203,129628280727949.89,1.0986478895094364e+48,1.0565060633423546e+48,0.161791,1.1668662525713757e+48,9.882877002804153e+47,2.155153952851791e+48,2.155153952851791e+48
0.20400000000000001,130266843687200.88,1.0986601698226898e+48,1.0565178545332637e+48,0.16238400000000003,1.1671285683581457e+48,9.880494559978078e+47,2.1551780243559535e+48,2.1551780243559535e+48
0.20500000000000002,130905406646451.86,1.098672450135943e+48,1.0565296457241725e+48,0.162975,1.1673900408549542e+48,9.878120550051612e+47,2.1552020958601154e+48,2.1552020958601154e+48
0.20600000000000002,131543969605702.84,1.0986847304491965e+48,1.0565414369150815e+48,0.16356400000000001,1.1676506700618018e+48,9.875754973024762e+47,2.155226167364278e+48,2.155226167364278e+48
0.20700000000000002,132182532564953.83,1.0986970107624496e+48,1.0565532281059903e+48,0.164151,1.1679104559786877e+48,9.873397828897522e+47,2.15525023886844e+48,2.15525023886844e+48
0.20800000000000002,132821095524204.81,1.098709291075703e+48,1.0565650192968994e+48,0.16473600000000002,1.1681693986056129e+48,9.871049117669896e+47,2.1552743103726025e+48,2.1552743103726025e+48
0.209,133459658483455.78,1.0987215713889565e+48,1.0565768104878082e+48,0.165319,1.1684274979425765e+48,9.868708839341882e+47,2.1552983818767647e+48,2.1552983818767647e+48
0.21,134098221442706.77,1.0987338517022098e+48,1.0565886016787173e+48,0.1659,1.1686847539895788e+48,9.866376993913483e+47,2.1553224533809273e+48,2.1553224533809273e+48
