interval_index,node_count,quantity,candidate_average,GL256_average,absolute_variation_average,dense_relative_residual,next_node_count,nested_relative_delta
1,9,thermal_cooling_total_erg_cm-3_s-1,2.0408795822919307e-33,2.0408794984129166e-33,2.0408794984129166e-33,4.109944472613994e-08,17.0,8.642837082457283e-08
1,9,thermal_expansion_work_erg_cm-3_s-1,1.6828318524965988e-32,1.6828318530396386e-32,1.6828318530396386e-32,3.226940520250073e-10,17.0,5.841397373442497e-10
1,9,thermal_thermal_rhs_erg_cm-3_s-1,-1.1232735537322733e-32,-1.1232772360606498e-32,1.1232772360606498e-32,3.2782008379189903e-06,17.0,4.878205083567508e-06
1,17,redshift_threshold_loss_rate_s-1_cMpc-3,5.1922976779568805e+48,5.192298086232471e+48,5.192298086232471e+48,7.863099990801732e-08,33.0,7.517764885916314e-08
1,17,absorption_G1_s-1_cMpc-3,3.3871923477059475e+50,3.387185436232327e+50,3.387185436232327e+50,2.0404768946476245e-06,33.0,1.7081172060099452e-06
1,17,absorption_G2a_s-1_cMpc-3,1.421720255791701e+50,1.4217149585070998e+50,1.4217149585070998e+50,3.7259821806125413e-06,33.0,3.1082521095100872e-06
1,17,absorption_G2b_s-1_cMpc-3,4.6556449181154256e+48,4.655653657805566e+48,4.655653657805566e+48,1.8772208550876022e-06,33.0,1.8763247692941105e-06
1,17,absorption_G3_s-1_cMpc-3,0.0,0.0,0.0,0.0,33.0,0.0
1,17,thermal_photoheat_erg_cm-3_s-1,7.636407607520488e-33,7.636425668202805e-33,7.636425668202805e-33,2.365070139092727e-06,33.0,2.361974231178012e-06
1,17,thermal_photoheat_H_erg_cm-3_s-1,6.271908451870631e-33,6.271923031566215e-33,6.271923031566215e-33,2.3245973381300513e-06,33.0,2.321282251291222e-06
1,17,thermal_photoheat_HeI_erg_cm-3_s-1,1.3644991556498566e-33,1.3645026366365894e-33,1.3645026366365894e-33,2.551102972853602e-06,33.0,2.5490145189931648e-06
1,17,thermal_photoheat_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,33.0,0.0
1,17,thermal_threshold_H_erg_cm-3_s-1,1.459716246516915e-32,1.4597201951903702e-32,1.4597201951903702e-32,2.705089282294998e-06,33.0,2.701132369074831e-06
1,17,thermal_threshold_HeI_erg_cm-3_s-1,3.538961911691417e-33,3.5389719550912065e-33,3.5389719550912065e-33,2.837942746407163e-06,33.0,2.8347920161807316e-06
1,17,thermal_threshold_HeII_erg_cm-3_s-1,0.0,0.0,0.0,0.0,33.0,0.0
1,17,thermal_recombination_cooling_erg_cm-3_s-1,1.0744542120539303e-33,1.07445421166121e-33,1.07445421166121e-33,3.6550670979890344e-10,33.0,3.6532521773418524e-10
