shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,equilibrium_pass,violated_constraints,temperature_min_K,temperature_max_K,minimum_row_capacity_slack,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,10,10.0,True,,3872.8594978648744,75856.46188727296,-7.605903601369376e+30,1.21080205698738e-211,1.2101721265311227e-211,6.299304562571999e-215,3.5142917737482035e-208,6.551517713150651e-210,1.8094318023853327e-211,0.0246919730331286,0.9991046936859632,-1.013651632894325e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,11,10.0,True,,3872.8594978648766,75856.46188727298,-7.922816251426434e+28,1.1902083222833765e-211,1.189589105899352e-211,6.192163840245124e-215,3.5142917737482026e-208,6.551517713153272e-210,1.8093607959628481e-211,0.024707200708539035,0.9991199213613737,-4.138377299072788e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,12,10.0,True,,3229.4948915804293,84691.12612601624,-6.490371073168535e+32,5.227927686353693e-210,5.225207810834829e-210,2.7198755188638493e-213,3.514291773748203e-208,4.618723826039357e-210,1.5646609742791113e-211,0.025934089032917097,0.9613430069769977,-1.0801061314382942e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,13,10.0,True,,3512.6078804614995,79995.7093533609,-1.6225927682921336e+32,7.704243144183964e-211,7.700234943692986e-211,4.008200490977543e-214,3.514291773748204e-208,4.618723826039356e-210,1.5617814102635838e-211,0.05889431478330331,0.9943032327273839,-9.565583003729207e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,14,10.0,True,,3512.9666903597617,79995.7093533609,-8.112963841460668e+31,5.185950591034481e-211,5.183252554469934e-211,2.6980365645465335e-214,3.514291773748204e-208,4.618723826039357e-210,1.5602811333944034e-211,0.06075642197945081,0.9961653399235313,-1.2616314770171293e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,15,10.0,True,,3512.6078804615004,79995.70935336094,-3.0423614405477506e+31,6.2530818625840065e-211,6.249828641557273e-211,3.25322102673386e-214,3.514291773748203e-208,4.6187238260393654e-210,1.560989854696503e-211,0.05996735050421603,0.9953762684482966,-7.884037573976347e-18
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,16,10.0,True,,3512.6078804614995,79995.7093533609,-5.070602400912918e+30,6.241290457617193e-211,6.238043371172962e-211,3.247086444231587e-214,3.5142917737482017e-208,4.6187238260393735e-210,1.5608922905786823e-211,0.059976069451509885,0.9953849873955904,-1.3121168389530843e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,17,10.0,True,,3512.607880461501,79995.70935336096,-1.188422437713965e+29,6.4264534892957255e-211,6.4231100701500725e-211,3.3434191456528065e-214,3.5142917737482035e-208,4.618723826039358e-210,1.5610176956609565e-211,0.059839153900011384,0.9952480718440919,-1.1506659027791026e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,0,100.0,True,,3512.3318626573327,79989.42335708976,-3.4074448134134806e+33,9.210739758798368e-211,9.205949680496398e-211,4.790078301970044e-214,3.5142917737482e-208,7.527312387134371e-210,1.9160422830702468e-211,0.007396406978545219,0.9931892802664052,-7.16729848253826e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,1,100.0,True,,3872.5558683981158,70825.07555546203,-2.7381252964929755e+32,4.375045972685056e-212,4.3727707143092215e-212,2.2752583758345146e-215,3.514291773748201e-208,7.527312387134447e-210,1.9070587703957874e-211,0.013883621622192333,0.9996764949100523,-6.329906311592101e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,2,100.0,True,,3872.8301615675814,70825.0755554621,-1.9268289123469087e+32,3.5970506507925984e-212,3.595179991678934e-212,1.8706591136645416e-215,3.5142917737482043e-208,7.527312387134482e-210,1.905907735481222e-211,0.013941149119768147,0.9997340224076281,-9.619946298630274e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,3,100.0,True,,3872.8301615675878,70825.07555546211,-7.098843361278085e+31,3.532278952256285e-212,3.5304419778971417e-212,1.836974359143004e-215,3.5142917737482035e-208,7.527312387134486e-210,1.9060294959516796e-211,0.013945938549248861,0.9997388118371088,-7.252024921392325e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,4,100.0,True,,3872.8301615675846,70825.07555546219,-1.7747108403195212e+31,3.780674852968081e-212,3.778708699428389e-212,1.9661535396923171e-215,3.514291773748202e-208,7.527312387134507e-210,1.9068980211372565e-211,0.013927571350663042,0.999720444638523,-1.6882638273990245e-16
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,5,100.0,True,,3872.830161567587,70825.07555546208,-2.574915281713591e+29,3.703162062413124e-212,3.701236219678628e-212,1.9258427344963843e-215,3.5142917737482073e-208,7.527312387134453e-210,1.9068427635020443e-211,0.013933302897814118,0.9997261761856742,-9.634622266483963e-17
LOCAL_NEUTRAL_HAZARD_PRIMARY,0,1,5.95,6,100.0,True,,3512.6906443606117,79989.4233570898,-4.543259751217974e+33,4.856709022792735e-211,4.854183273817315e-211,2.5257489754201928e-214,3.5142917737482073e-208,6.551517713153208e-210,1.7858790004172419e-211,0.021996071165404918,0.9964087918182396,-8.131593698009231e-17
