shape_lane,interval_index,substep,z_mid,macro_index,tau_Myr,constraint,normalized_mass_min,normalized_ionized_H_min,normalized_neutral_H_min,normalized_thermal_min,normalized_capacity_min,normalized_current_min,normalized_mass_cap_slack,normalized_volume_cap_slack,normalized_cycling_slack_min,clipping_used
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,8,10.0,CYCLING_CAPACITY_DEFICIT,2.646282357403426e-211,2.6445736260802782e-211,1.7087313231479406e-214,3.517092888521691e-208,6.992249517830628e-210,1.7284219180752793e-211,0.03040628009386442,0.99804325299116,-2.3042700694012063e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,9,10.0,CYCLING_CAPACITY_DEFICIT,2.4826483064882e-211,2.4810452162122902e-211,1.603090275909316e-214,3.5170928885216917e-208,6.99227354723807e-210,1.7279893221900507e-211,0.03052727641868097,0.9981642493159766,-2.404485816954542e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,10,10.0,CYCLING_CAPACITY_DEFICIT,2.3298258003855434e-211,2.3283213629899027e-211,1.5044373956405465e-214,3.5170928885216926e-208,6.992310162480722e-210,1.7275740674582211e-211,0.030640278336584097,0.9982772512338799,-2.4933154544694282e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,11,10.0,CYCLING_CAPACITY_DEFICIT,2.294714252520075e-211,2.293232481632871e-211,1.4817708872041093e-214,3.5170928885216917e-208,6.992318398133877e-210,1.7274766215705016e-211,0.030666240953940216,0.9983032138512359,-2.513566073165288e-05,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,12,10.0,CYCLING_CAPACITY_DEFICIT,6.950697261220327e-210,6.946209524962077e-210,4.487736258249429e-213,3.5170928885216926e-208,5.0986644963129254e-210,1.5228559959174402e-211,0.03179800542600517,0.948604289949657,-0.0003730045732907161,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,13,10.0,CYCLING_CAPACITY_DEFICIT,1.4189430072098086e-210,1.4180268401695436e-210,9.161670402651213e-214,3.5170928885216913e-208,5.098725507755854e-210,1.518749328642966e-211,0.0727015906382549,0.9895078751619066,-0.00039193339107317934,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,14,10.0,CYCLING_CAPACITY_DEFICIT,7.039519280572395e-211,7.034974086789766e-211,4.545193782629312e-214,3.517092888521692e-208,5.09872374739206e-210,1.5142893933044675e-211,0.07798846658920884,0.9947947511128606,-0.00041249905168478973,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,15,10.0,CYCLING_CAPACITY_DEFICIT,1.1679218036459737e-210,1.1671677048229593e-210,7.540988230143011e-214,3.5170928885216913e-208,5.098752643251574e-210,1.517633033145188e-211,0.07455772283765813,0.9913640073613099,-0.00039681898800412226,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,16,10.0,CYCLING_CAPACITY_DEFICIT,1.1619811357412744e-210,1.161230866010931e-210,7.502697303435394e-214,3.5170928885216904e-208,5.098774481564341e-210,1.5174763971099473e-211,0.07460165006303718,0.991407934586689,-0.0003971865102781364,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,17,10.0,CYCLING_CAPACITY_DEFICIT,1.1913509851056425e-210,1.190581751807832e-210,7.692332978105415e-214,3.5170928885216917e-208,5.098774477982599e-210,1.517621236404153e-211,0.074384479870548,0.9911907643941998,-0.0003965713147414707,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,0,100.0,CYCLING_CAPACITY_DEFICIT,9.833617955427877e-211,9.824691898715372e-211,8.926056712504803e-214,3.5170928885217047e-208,7.972508490406099e-210,2.4336049952585043e-211,0.010569640163726716,0.9927287039243846,-0.013935800213725915,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,1,100.0,CYCLING_CAPACITY_DEFICIT,7.551001929248779e-212,7.544086398921039e-212,6.915530327739107e-215,3.5170928885216978e-208,7.95859459042178e-210,2.448287648455574e-211,0.017282590664559953,0.9994416544252179,-0.014254743926727008,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,2,100.0,CYCLING_CAPACITY_DEFICIT,6.43263831512424e-212,6.426739051287228e-212,5.899263837012671e-215,3.517092888521712e-208,7.956483151215248e-210,2.4467173284501292e-211,0.01736528609766864,0.9995243498583265,-0.014305334220698797,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,3,100.0,CYCLING_CAPACITY_DEFICIT,6.28981894573762e-212,6.284045046236669e-212,5.773899500949397e-215,3.5170928885216865e-208,7.95496571634949e-210,2.4467080521585666e-211,0.01737584662508439,0.9995349103857424,-0.0143443375630156,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,4,100.0,CYCLING_CAPACITY_DEFICIT,6.535923800247641e-212,6.529913859483225e-212,6.009940764415671e-215,3.5170928885216883e-208,7.952335303382833e-210,2.4476203610618724e-211,0.01735764883388587,0.9995167125945439,-0.014414163557651592,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,5,100.0,CYCLING_CAPACITY_DEFICIT,6.412973779911243e-212,6.407075596570849e-212,5.898183340394019e-215,3.5170928885216865e-208,7.951991838357436e-210,2.4474937209795267e-211,0.017366740157185402,0.9995258039178433,-0.014422702487817862,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,6,100.0,CYCLING_CAPACITY_DEFICIT,8.25443567552514e-211,8.24693790270664e-211,7.497772818500403e-214,3.5170928885216896e-208,7.349040584095808e-210,2.4012261990359934e-211,0.026259429626585565,0.9938964025238812,-0.013498250171682278,False
LOCAL_NEUTRAL_HAZARD_PRIMARY,1,2,5.85,7,100.0,CYCLING_CAPACITY_DEFICIT,3.086938522169983e-211,3.0841221387224657e-211,2.8163834475171582e-214,3.517092888521693e-208,7.346429189024973e-210,2.3958512823808975e-211,0.030080444632685648,0.9977174175299813,-0.013663254975474397,False
